procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0 1208016 13508080 801948 15409080  223  105   263   274    7   68  5  4 76 15
 2  0 1208016 13462396 801948 15408868    0    0     0     0 5830 6322 30  3 67  0
 2  0 1208016 13461592 801948 15408872    0    0     0    32 3076 2392 19  1 80  0
10  0 1208016 13461088 801948 15408872    0    0     0     0 7152 7426 33  4 64  0
 2  0 1208016 13461248 801948 15408892    0    0     0     0 7566 7939 33  4 64  0
 3  1 1208016 13457720 801960 15408888    0    0     0    52 7345 7411 32  4 64  0
 1  0 1208016 13458456 801960 15408908    0    0     0     0 7166 7498 33  4 63  0
 2  0 1208016 13457992 801960 15408916    0    0     0     0 7278 7677 32  4 64  0
 2  0 1208016 13458040 801960 15408924    0    0     0     0 7285 7621 33  4 64  0
 2  0 1208016 13454268 801960 15408936    0    0     0     0 7119 7435 32  3 64  0
 9  1 1208016 13453788 801968 15408932    0    0     0    12 7090 7220 31  4 66  0
10  0 1208016 13454076 801968 15408948    0    0     0     0 7355 7383 32  4 65  0
 2  0 1208016 13442728 801968 15408956    0    0     0     0 5582 5714 28  2 69  0
 2  0 1208016 13429904 801968 15408956    0    0     0     0 5646 5662 28  2 70  0
 1  0 1208016 13418116 801968 15408964    0    0     0     0 4671 4499 25  2 73  0
 1  1 1208016 13404316 801976 15408960    0    0     0    12 4731 4489 24  2 74  0
 1  0 1208016 13390644 801976 15408968    0    0     0     0 4514 4179 23  2 75  0
 1  0 1208016 13375692 801976 15408972    0    0     0     0 3746 3215 20  2 78  0
 1  0 1208016 13365556 801976 15408972    0    0     0     0 3526 3176 21  2 78  0
 1  0 1208016 13355136 801976 15408972    0    0     0     0 3622 3023 20  2 79  0
 2  1 1208016 13341500 801984 15408968    0    0     0    12 3522 2968 19  2 79  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 1208016 13326776 801984 15408980    0    0     0     0 3040 2296 17  1 82  0
 1  0 1208016 13313520 801984 15408980    0    0     0     0 3190 2285 17  1 82  0
 1  0 1208016 13306080 801984 15408980    0    0     0     0 3472 2681 18  2 80  0
 1  0 1208016 13293624 801984 15408980    0    0     0     0 2943 2071 16  1 83  0
 1  1 1208016 13280924 801992 15408976    0    0     0    12 3065 2234 17  2 82  0
 1  0 1208016 13270232 801992 15408984    0    0     0     0 3121 2338 17  1 81  0
 1  0 1208016 13258272 801992 15408984    0    0     0     8 2747 1862 16  1 83  0
 1  0 1208016 13238680 801992 15408984    0    0     0     0 2851 2146 17  1 82  0
 1  0 1208016 13241400 801992 15408984    0    0     0     0 2483 1626 16  1 83  0
 3  1 1208016 13228688 802000 15408980    0    0     0    12 2315 1659 18  1 82  0
 1  0 1208016 13218904 802000 15408992    0    0     0     0 2327 1674 18  1 82  0
 1  0 1208016 13216756 802000 15408992    0    0     0    68 2334 1663 18  1 82  0
 1  0 1208016 13214128 802000 15408996    0    0     0     0 2496 1861 18  1 81  0
