procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 31174996  95200 1091712    0    0   103   262  152  169  4  1 95  0
 1  0      0 31136360  98872 1091600    0    0  3672     0 2142 2923 10  1 87  1
 1  0      0 31106196 126716 1091816    0    0 27836    28 8229 1040 11  1 87  1
 1  0      0 31095828 131632 1091832    0    0  4916     0 3857 1160 10  2 88  0
 1  0      0 31085228 131896 1091748    0    0   252    60 2723 1018 11  2 87  0
 1  0      0 31077964 132284 1091628    0    0   388     0 2817 1044 11  2 88  0
 1  0      0 31071144 132412 1091760    0    0   128     0 2751 1040 10  2 88  0
 1  0      0 31064792 132412 1091760    0    0     0     0 2718 1025 11  2 87  0
 1  0      0 31054508 132412 1091760    0    0     0     0 2666  995 11  2 87  0
 1  0      0 31047620 132420 1091756    0    0     0    24 2750 1049 11  2 87  0
 1  0      0 31040512 132540 1091764    0    0   120     0 2782 1037 10  2 87  0
 1  0      0 31031156 132540 1091764    0    0     0     0 2669  987 11  2 88  0
 1  0      0 31014876 132540 1101168    0    0  9612     0 3494 5878  9  1 87  3
 0  1      0 30994068 132540 1111900    0    0 10740     0 3808 6619  9  1 87  3
 1  0      0 30973168 132540 1122384    0    0 10368    52 3570 6135  9  1 88  3
 1  0      0 30955120 132548 1132656    0    0 10304    12 3595 6212  9  1 88  3
 0  1      0 30931832 132548 1144304    0    0 11360     0 3750 6601  9  1 88  3
 1  0      0 30909196 132548 1155276    0    0 10996     0 3793 6696  8  1 88  3
 1  0      0 30886512 132548 1166220    0    0 11008     0 3801 6734  8  1 88  3
 1  0      0 30868200 132548 1177740    0    0 11736     0 3814 6875  8  1 88  3
 1  0      0 30849996 132556 1186632    0    0  8828    12 3116 5058  9  1 87  2
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 30829792 132556 1197800    0    0 11292     0 3802 6713  9  1 87  3
 0  1      0 30804396 132556 1208824    0    0 10856     0 3710 6479  9  1 88  3
 1  0      0 30783976 132556 1219960    0    0 11140     0 3769 6638  9  1 87  3
 1  0      0 30760532 132556 1232428    0    0 12468     0 4066 7444  8  1 87  3
 0  1      0 30741228 132564 1243996    0    0 11516    12 3874 6878  8  1 88  3
 0  1      0 30723132 132564 1255712    0    0 11580     0 3817 6613  8  1 87  3
 1  0      0 30700976 132564 1267008    0    0 11636     0 3796 6725  8  1 88  3
 1  0      0 30675456 132564 1278388    0    0 11128     0 3828 6801  8  1 88  3
 1  0      0 30662212 132564 1289744    0    0 11268     0 3834 6850  8  1 88  3
 1  0      0 30639264 132564 1302384    0    0 12988     0 4275 7845  8  1 88  3
 0  1      0 30617060 132572 1314488    0    0 11780    12 4037 7334  8  1 87  3
 0  1      0 30603212 132572 1325208    0    0 11044    20 3744 6646  9  1 88  3
 1  0      0 30581412 132572 1337260    0    0 11836     0 3935 7029  8  1 88  3
 0  1      0 30564816 132572 1345188    0    0  8072    44 2950 4672 10  1 88  2
 1  0      0 30536976 132572 1351752    0    0  6684     0 2625 3920 10  1 88  2
 1  1      0 30536852 132580 1352052    0    0     0    24 1071   38 13  0 87  0
 1  0      0 30530280 132580 1352052    0    0     0    20 1075   51 12  0 87  0
 1  0      0 30529164 132580 1352052    0    0     0     0 1071   39 13  0 88  0
 1  0      0 30527552 132580 1352056    0    0     0     0 1083   37 12  0 87  0
 1  0      0 30524328 132580 1352060    0    0     0     0 1068   27 12  0 87  0
 1  0      0 30524436 132588 1352052    0    0     0    12 1108   73 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 30515384 132588 1352052    0    0     0     0 1078   41 12  0 88  0
 1  0      0 30511912 132588 1352056    0    0     0     0 1068   29 12  0 87  0
 1  0      0 30509184 132588 1352064    0    0     0     0 1073   33 12  0 88  0
 1  0      0 30501620 132588 1352068    0    0     0     0 1083   43 12  0 87  0
 1  0      0 30498396 132596 1352060    0    0     0    12 1080   51 12  0 87  0
 1  0      0 30495420 132596 1352072    0    0     0     0 1082   39 13  0 88  0
 1  0      0 30493808 132596 1352072    0    0     0     0 1070   29 12  0 87  0
 1  0      0 30484384 132596 1352072    0    0     0    12 1077   43 12  0 88  0
 1  0      0 30482524 132596 1352072    0    0     0     0 1078   43 13  0 88  0
 1  1      0 30472092 132604 1352068    0    0     0    12 1099   73 12  0 87  0
 1  0      0 30468620 132604 1352076    0    0     0     0 1094   48 12  0 87  0
 1  0      0 30465892 132604 1352076    0    0     0     0 1060   35 12  0 87  0
 1  0      0 30455848 132604 1352076    0    0     0     0 1073   39 12  0 88  0
 1  0      0 30452624 132604 1352080    0    0     0     0 1073   29 13  0 88  0
 1  0      0 30450516 132612 1352072    0    0     0    12 1080   45 12  0 87  0
 1  0      0 30427700 132612 1352072    0    0     0     0 1066   35 12  0 88  0
 1  0      0 30423980 132612 1352072    0    0     0     0 1078   37 13  0 88  0
 1  0      0 30420384 132612 1352072    0    0     0     0 1068   33 12  0 88  0
 1  0      0 30416292 132612 1352084    0    0     0     0 1071   32 13  0 88  0
 1  0      0 30385648 132620 1352076    0    0     0    12 1100   75 12  0 87  0
 1  0      0 30376968 132620 1352076    0    0     0     0 1087   46 13  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 30355020 132620 1352076    0    0     0     0 1073   31 12  0 88  0
 1  0      0 30352912 132620 1352088    0    0     0     0 1080   37 12  0 87  0
 1  0      0 30264728 132624 1352276    0    0     4     0 1067   40 12  0 87  0
 1  0      0 30243876 132632 1352688    0    0     0    16 1080   53 12  0 87  0
 1  0      0 30222884 132632 1353048    0    0     0     0 1063   27 12  0 87  0
 1  0      0 30202156 132632 1353360    0    0     0     0 1061   31 12  0 88  0
