procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 32277884  24852 139356    0    0   237    17  124  108  1  1 97  0
 1  0      0 32215880  29312 153604    0    0 18684     0 2758 1384 10  1 87  1
 0  1      0 32203524  29320 155576    0    0  1880    28 2986 2172 10  2 87  1
 1  0      0 32178780  29320 167852    0    0 12104     0 4397 8514  7  1 88  4
 1  0      0 32150892  29320 175524    0    0  7660     0 3227 5480  9  1 88  2
 1  1      0 32138120  29328 175488    0    0     0    40 1070   36 12  0 87  0
 1  0      0 32049264  29332 175484    0    0    24     0 1078   46 12  0 87  0
 1  0      0 32019972  29340 176128    0    0     0    28 1070   49 12  0 87  0
 1  0      0 31996948  29340 176052    0    0     0    32 1081   49 12  0 88  0
 1  0      0 31974048  29340 176792    0    0     0     0 1070   32 13  0 88  0
 1  0      0 31951272  29340 176664    0    0     0    96 1084   34 12  0 88  0
 1  0      0 31930420  29348 176956    0    0     0    16 1067   43 12  0 87  0
 1  0      0 31909692  29348 177196    0    0     0     0 1075   47 13  0 87  0
 1  0      0 32113940  29368 177480    0    0    12  2088 1084   67 12  0 87  0
 1  0      0 32080896  29368 177628    0    0     0     0 1097   66 12  0 87  0
 1  0      0 32080648  29368 177628    0    0     0     0 1061   33 12  0 88  0
 1  1      0 32058684  29376 177620    0    0     0    16 1080   55 13  0 87  0
 1  0      0 32048392  29376 177624    0    0     0     0 1067   37 12  0 87  0
 1  0      0 32048268  29376 177632    0    0     0     0 1075   36 13  0 88  0
 1  0      0 32048268  29384 177624    0    0     0    24 1094   59 13  0 87  0
 1  0      0 32048268  29384 177632    0    0     0    12 1074   53 12  0 88  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1      0 32041168  29536 177916    0    0   440    24 1111   79 12  0 88  0
 1  0      0 32025544  29540 177916    0    0     0     4 1067   39 12  0 87  0
 1  0      0 32025356  29540 177928    0    0     0   200 1109   41 13  0 88  0
 1  0      0 32025400  29540 177928    0    0     0     0 1098   76 12  0 88  0
 1  0      0 32025464  29540 177932    0    0     0     0 1074   35 12  0 87  0
 1  0      0 32025464  29540 177932    0    0     0     0 1065   31 13  0 88  0
 1  0      0 32025464  29548 177932    0    0     0    16 1069   47 13  0 87  0
 1  0      0 32025464  29556 177932    0    0     0    36 1083   65 12  0 87  0
 1  0      0 32025464  29556 177932    0    0     0     0 1066   31 13  0 88  0
 1  0      0 32025464  29556 177932    0    0     0     0 1075   31 13  0 88  0
 1  0      0 32025464  29556 177936    0    0     0     0 1070   35 12  0 87  0
 1  1      0 32025464  29564 177928    0    0     0    16 1082   51 12  0 87  0
 1  0      0 32025464  29564 177928    0    0     0     0 1082   44 13  0 87  0
 1  0      0 32025260  29564 177928    0    0     0     0 1092   66 12  0 87  0
 1  0      0 32025324  29564 177940    0    0     0    44 1081   33 13  0 88  0
 1  0      0 32025324  29564 177940    0    0     0     0 1076   51 13  0 88  0
 1  0      0 32020860  29564 177940    0    0     0     0 1069   32 12  0 87  0
 1  0      0 32012676  29572 177932    0    0     0    48 1084   51 12  0 87  0
 1  0      0 32012552  29572 177944    0    0     0     0 1069   34 12  0 87  0
 1  0      0 32012552  29572 177944    0    0     0     0 1081   47 12  0 88  0
 1  0      0 32005780  29572 177944    0    0     0     0 1077   35 13  0 88  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 31972304  29572 177944    0    0     0     0 1061   27 12  0 88  0
 1  1      0 31868472  29580 177940    0    0     0    16 1086   45 12  0 87  0
 1  0      0 31847416  29580 178128    0    0     0     0 1104   62 13  0 87  0
 1  0      0 31818560  29580 178376    0    0     0    20 1073   35 12  0 88  0
 1  0      0 31960304  29580 178500    0    0     0   816 1097   43 12  0 87  0
